timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667821329300,300,get Request,200,OK,Thread Group 1-125,text,true,,1004,122,145,145,https://reqres.in/api/users/2,300,0,233
1667821329029,572,get Request,200,OK,Thread Group 1-2,text,true,,993,122,145,145,https://reqres.in/api/users/2,572,0,211
1667821329299,315,get Request,200,OK,Thread Group 1-107,text,true,,994,122,151,151,https://reqres.in/api/users/2,315,0,231
1667821329312,316,get Request,200,OK,Thread Group 1-213,text,true,,996,122,151,151,https://reqres.in/api/users/2,316,0,226
1667821329311,323,get Request,200,OK,Thread Group 1-207,text,true,,994,122,151,151,https://reqres.in/api/users/2,323,0,226
1667821329021,619,get Request,200,OK,Thread Group 1-1,text,true,,995,122,151,151,https://reqres.in/api/users/2,619,0,225
1667821329290,352,Post Request,201,Created,Thread Group 1-8,text,true,,717,217,151,151,https://reqres.in/api/users,352,0,0
1667821329153,503,get Request,200,OK,Thread Group 1-16,text,true,,995,122,150,150,https://reqres.in/api/users/2,503,0,114
1667821329320,353,Post Request,201,Created,Thread Group 1-76,text,true,,711,217,154,154,https://reqres.in/api/users,353,0,0
1667821329149,525,get Request,200,OK,Thread Group 1-17,text,true,,993,122,153,153,https://reqres.in/api/users/2,525,0,107
1667821329309,373,get Request,200,OK,Thread Group 1-194,text,true,,996,122,158,158,https://reqres.in/api/users/2,373,0,291
1667821329302,381,get Request,200,OK,Thread Group 1-151,text,true,,996,122,158,158,https://reqres.in/api/users/2,381,0,297
1667821329154,529,get Request,200,OK,Thread Group 1-13,text,true,,997,122,158,158,https://reqres.in/api/users/2,529,0,123
1667821329554,130,get Request,200,OK,Thread Group 1-203,text,true,,991,122,158,158,https://reqres.in/api/users/2,130,0,79
1667821329566,131,get Request,200,OK,Thread Group 1-155,text,true,,1001,122,176,176,https://reqres.in/api/users/2,131,0,79
1667821329159,543,get Request,200,OK,Thread Group 1-23,text,true,,997,122,176,176,https://reqres.in/api/users/2,543,0,150
1667821329305,398,Post Request,201,Created,Thread Group 1-86,text,true,,705,217,176,176,https://reqres.in/api/users,398,0,0
1667821329152,545,get Request,200,OK,Thread Group 1-15,text,true,,995,122,176,176,https://reqres.in/api/users/2,545,0,142
1667821329321,382,Post Request,201,Created,Thread Group 1-87,text,true,,717,217,175,175,https://reqres.in/api/users,382,0,0
1667821329570,150,get Request,200,OK,Thread Group 1-256,text,true,,997,122,183,183,https://reqres.in/api/users/2,150,0,77
1667821329158,563,get Request,200,OK,Thread Group 1-20,text,true,,991,122,183,183,https://reqres.in/api/users/2,563,0,134
1667821329300,422,get Request,200,OK,Thread Group 1-132,text,true,,998,122,183,183,https://reqres.in/api/users/2,422,0,313
1667821329557,178,get Request,200,OK,Thread Group 1-192,text,true,,991,122,187,187,https://reqres.in/api/users/2,178,0,83
1667821329570,168,get Request,200,OK,Thread Group 1-230,text,true,,997,122,187,187,https://reqres.in/api/users/2,168,0,87
1667821329362,384,Post Request,201,Created,Thread Group 1-108,text,true,,715,217,190,190,https://reqres.in/api/users,384,0,0
1667821329574,172,get Request,200,OK,Thread Group 1-257,text,true,,995,122,190,190,https://reqres.in/api/users/2,172,0,87
1667821329303,446,get Request,200,OK,Thread Group 1-157,text,true,,998,122,193,193,https://reqres.in/api/users/2,446,0,318
1667821329322,431,Post Request,201,Created,Thread Group 1-10,text,true,,707,217,193,193,https://reqres.in/api/users,431,0,0
1667821329292,465,Post Request,201,Created,Thread Group 1-11,text,true,,708,217,197,197,https://reqres.in/api/users,465,0,0
1667821329563,196,get Request,200,OK,Thread Group 1-166,text,true,,999,122,196,196,https://reqres.in/api/users/2,196,0,93
1667821329373,408,Post Request,201,Created,Thread Group 1-19,text,true,,709,217,212,212,https://reqres.in/api/users,408,0,0
1667821329328,490,Post Request,201,Created,Thread Group 1-14,text,true,,709,217,212,212,https://reqres.in/api/users,490,0,0
1667821329297,522,get Request,200,OK,Thread Group 1-79,text,true,,997,122,211,211,https://reqres.in/api/users/2,522,0,91
1667821329384,438,Post Request,201,Created,Thread Group 1-18,text,true,,714,217,211,211,https://reqres.in/api/users,438,0,0
1667821329330,492,Post Request,201,Created,Thread Group 1-9,text,true,,715,217,211,211,https://reqres.in/api/users,492,0,0
1667821329553,273,get Request,200,OK,Thread Group 1-206,text,true,,1006,122,210,210,https://reqres.in/api/users/2,273,0,134
1667821329294,532,get Request,200,OK,Thread Group 1-54,text,true,,993,122,210,210,https://reqres.in/api/users/2,532,0,84
1667821329397,429,Post Request,201,Created,Thread Group 1-52,text,true,,715,217,210,210,https://reqres.in/api/users,429,0,0
1667821329371,458,Post Request,201,Created,Thread Group 1-6,text,true,,707,217,209,209,https://reqres.in/api/users,458,0,0
1667821329605,225,get Request,200,OK,Thread Group 1-247,text,true,,995,122,208,208,https://reqres.in/api/users/2,225,0,112
1667821329607,223,get Request,200,OK,Thread Group 1-246,text,true,,991,122,208,208,https://reqres.in/api/users/2,223,0,112
1667821329292,539,Post Request,201,Created,Thread Group 1-85,text,true,,705,217,208,208,https://reqres.in/api/users,539,0,0
1667821329564,267,get Request,200,OK,Thread Group 1-162,text,true,,996,122,208,208,https://reqres.in/api/users/2,267,0,137
1667821329296,535,get Request,200,OK,Thread Group 1-63,text,true,,999,122,208,208,https://reqres.in/api/users/2,535,0,94
1667821329558,273,get Request,200,OK,Thread Group 1-170,text,true,,998,122,207,207,https://reqres.in/api/users/2,273,0,144
1667821329293,539,Post Request,201,Created,Thread Group 1-100,text,true,,717,217,207,207,https://reqres.in/api/users,539,0,0
1667821329871,642,get Request,200,OK,Thread Group 1-291,text,true,,1001,122,380,380,https://reqres.in/api/users/2,642,0,555
1667821330143,369,get Request,200,OK,Thread Group 1-332,text,true,,991,122,380,380,https://reqres.in/api/users/2,369,0,272
1667821330220,292,get Request,200,OK,Thread Group 1-420,text,true,,990,122,380,380,https://reqres.in/api/users/2,292,0,184
1667821330142,366,get Request,200,OK,Thread Group 1-329,text,true,,989,122,380,380,https://reqres.in/api/users/2,366,0,270
1667821329754,755,get Request,200,OK,Thread Group 1-77,text,true,,989,122,380,380,https://reqres.in/api/users/2,755,0,668
1667821329689,816,get Request,200,OK,Thread Group 1-224,text,true,,994,122,380,380,https://reqres.in/api/users/2,816,0,246
1667821329696,809,get Request,200,OK,Thread Group 1-24,text,true,,996,122,380,380,https://reqres.in/api/users/2,809,0,248
1667821329693,811,get Request,200,OK,Thread Group 1-282,text,true,,990,122,380,380,https://reqres.in/api/users/2,811,0,251
1667821329326,1178,Post Request,201,Created,Thread Group 1-102,text,true,,709,217,380,380,https://reqres.in/api/users,1178,0,0
1667821329657,845,Post Request,201,Created,Thread Group 1-16,text,true,,708,217,380,380,https://reqres.in/api/users,845,0,0
1667821330204,288,get Request,200,OK,Thread Group 1-390,text,true,,1000,122,380,380,https://reqres.in/api/users/2,288,0,178
1667821330234,258,get Request,200,OK,Thread Group 1-430,text,true,,1000,122,380,380,https://reqres.in/api/users/2,258,0,149
1667821329866,627,get Request,200,OK,Thread Group 1-245,text,true,,989,122,380,380,https://reqres.in/api/users/2,627,0,549
1667821329682,804,Post Request,201,Created,Thread Group 1-194,text,true,,717,217,380,380,https://reqres.in/api/users,804,0,0
1667821329665,821,get Request,200,OK,Thread Group 1-241,text,true,,998,122,380,380,https://reqres.in/api/users/2,821,0,189
1667821330233,245,get Request,200,OK,Thread Group 1-429,text,true,,993,122,380,380,https://reqres.in/api/users/2,245,0,161
1667821329754,725,get Request,200,OK,Thread Group 1-67,text,true,,1005,122,380,380,https://reqres.in/api/users/2,725,0,643
1667821329769,710,get Request,200,OK,Thread Group 1-91,text,true,,1004,122,380,380,https://reqres.in/api/users/2,710,0,596
1667821330231,289,get Request,200,OK,Thread Group 1-406,text,true,,996,122,376,376,https://reqres.in/api/users/2,289,0,167
1667821329868,653,get Request,200,OK,Thread Group 1-275,text,true,,999,122,376,376,https://reqres.in/api/users/2,653,0,564
1667821330234,286,get Request,200,OK,Thread Group 1-431,text,true,,1000,122,376,376,https://reqres.in/api/users/2,286,0,154
1667821330218,303,get Request,200,OK,Thread Group 1-419,text,true,,998,122,376,376,https://reqres.in/api/users/2,303,0,187
